text,type_text,away_score,home_score,period_number,scoring_play,score_value,coordinate_x,coordinate_y
LeBron James misses 11-foot two point shot,Fade Away Jump Shot,66,61,3,FALSE,0,36,-1
LeBron James makes 27-foot three point jumper (Anthony Davis assists),Jump Shot,71,66,3,TRUE,3,5,18
LeBron James misses 26-foot three point pullup jump shot,Pullup Jump Shot,77,76,3,FALSE,0,41,21
LeBron James makes layup (Russell Westbrook assists),Layup Shot,91,83,3,TRUE,2,25,-1
LeBron James misses driving layup,Driving Layup Shot,101,99,4,FALSE,0,27,2
LeBron James misses 3-foot two point shot,Turnaround Hook Shot,103,101,4,FALSE,0,24,3
LeBron James makes layup (Russell Westbrook assists),Cutting Layup Shot,107,103,4,TRUE,2,25,0
LeBron James makes 11-foot two point shot,Fade Away Jump Shot,109,106,4,TRUE,2,18,8
LeBron James misses driving floating jump shot,Driving Floating Jump Shot,109,106,4,FALSE,0,20,8
LeBron James misses 25-foot three point jumper,Jump Shot,112,110,4,FALSE,0,1,7
Giannis Antetokounmpo blocks LeBron James 's 3-foot two point shot,Running Layup Shot,112,110,4,FALSE,0,27,3
LeBron James misses driving floating jump shot,Driving Floating Jump Shot,114,114,4,FALSE,0,31,3
LeBron James makes 5-foot two point shot,Hook Driving Bank,118,117,4,TRUE,2,29,3
LeBron James makes 27-foot three point jumper (Anthony Davis assists),Jump Shot,125,123,4,TRUE,3,8,21
LeBron James makes 27-foot three point jumper (Austin Reaves assists),Jump Shot,128,125,4,TRUE,3,34,26
LeBron James misses 27-foot step back jumpshot,Step Back Jump Shot,128,125,4,FALSE,0,9,22
LeBron James misses 15-foot two point shot,Fade Away Jump Shot,130,127,4,FALSE,0,10,1
LeBron James makes 25-foot three point jumper (Dennis Schroder assists),Jump Shot,10,4,1,TRUE,3,5,16
LeBron James misses 26-foot step back jumpshot,Step Back Jump Shot,10,9,1,FALSE,0,27,26
LeBron James makes 2-foot layup (Russell Westbrook assists),Cutting Layup Shot,12,15,1,TRUE,2,23,1
LeBron James makes 10-foot two point shot,Turnaround Fade Away Jump Shot,14,15,1,TRUE,2,32,7
LeBron James makes layup (Russell Westbrook assists),Cutting Layup Shot,16,15,1,TRUE,2,25,2
LeBron James misses layup,Layup Shot,18,15,1,FALSE,0,24,1
LeBron James misses 28-foot three point jumper,Jump Shot,18,15,1,FALSE,0,7,21
LeBron James makes 30-foot three point jumper (Troy Brown Jr. assists),Jump Shot,39,29,2,TRUE,3,6,24
LeBron James misses 27-foot three point jumper,Jump Shot,44,33,2,FALSE,0,6,20
LeBron James makes driving layup,Driving Layup Shot,65,45,2,TRUE,2,25,3
LeBron James misses 9-foot two point shot,Turnaround Fade Away Jump Shot,68,47,2,FALSE,0,34,3
LeBron James misses two point shot,Driving Finger Roll Layup,68,52,3,FALSE,0,27,0
LeBron James makes 8-foot two point shot,Driving Jump Shot Bank,73,52,3,TRUE,2,18,2
LeBron James misses driving layup,Driving Layup Shot,73,52,3,FALSE,0,28,2
LeBron James makes driving layup,Driving Layup Shot,81,54,3,TRUE,2,26,2
LeBron James misses 16-foot two point shot,Turnaround Fade Away Jump Shot,105,81,4,FALSE,0,9,2
LeBron James makes 2-foot layup (Russell Westbrook assists),Cutting Layup Shot,107,83,4,TRUE,2,24,1
LeBron James misses 28-foot three point jumper,Jump Shot,107,83,4,FALSE,0,40,23
LeBron James makes driving layup,Driving Layup Shot,109,92,4,TRUE,2,22,2
LeBron James misses driving layup,Driving Layup Shot,109,92,4,FALSE,0,20,2
LeBron James makes dunk,Running Dunk Shot,125,107,4,TRUE,2,26,2
LeBron James misses driving layup,Driving Layup Shot,125,107,4,FALSE,0,25,8
LeBron James misses tip shot,Tip Shot,125,107,4,FALSE,0,25,7
LeBron James makes 3-foot dunk (Anthony Davis assists),Dunk Shot,127,109,4,TRUE,2,23,2
Daniel Gafford blocks LeBron James 's 4-foot driving layup,Driving Layup Shot,127,115,4,FALSE,0,23,3
LeBron James misses 27-foot three point jumper,Jump Shot,129,115,4,FALSE,0,16,26
LeBron James makes dunk (Anthony Davis assists),Cutting Dunk Shot,2,2,1,TRUE,2,25,1
LeBron James misses dunk,Running Dunk Shot,3,10,1,FALSE,0,25,1
LeBron James makes 32-foot three point jumper (Patrick Beverley assists),Jump Shot,9,12,1,TRUE,3,11,28
LeBron James misses 33-foot three point jumper,Jump Shot,9,12,1,FALSE,0,17,32
LeBron James misses 30-foot step back jumpshot,Step Back Jump Shot,24,25,1,FALSE,0,6,23
LeBron James misses driving layup,Driving Layup Shot,30,35,2,FALSE,0,26,1
LeBron James makes 11-foot two point shot,Turnaround Fade Away Jump Shot,32,35,2,TRUE,2,19,10
LeBron James makes two point shot,Running Finger Roll Layup,41,38,2,TRUE,2,26,2
LeBron James makes step back jumpshot (Lonnie Walker IV assists),Step Back Jump Shot,43,40,2,TRUE,2,26,20
LeBron James misses 21-foot pullup jump shot,Pullup Jump Shot,45,42,2,FALSE,0,22,21
LeBron James makes 2-foot driving dunk,Driving Dunk Shot,60,65,3,TRUE,2,24,2
LeBron James misses tip shot,Tip Shot,60,65,3,FALSE,0,25,1
LeBron James makes 26-foot three point jumper (Russell Westbrook assists),Jump Shot,68,68,3,TRUE,3,8,19
LeBron James makes two point shot,Running Finger Roll Layup,79,81,3,TRUE,2,25,2
LeBron James misses 25-foot step back jumpshot,Step Back Jump Shot,83,83,3,FALSE,0,7,18
LeBron James misses 13-foot two point shot,Turnaround Fade Away Jump Shot,83,85,3,FALSE,0,12,2
LeBron James misses 27-foot three point jumper,Jump Shot,92,97,4,FALSE,0,13,24
LeBron James misses 18-foot pullup jump shot,Pullup Jump Shot,2,4,1,FALSE,0,23,18
LeBron James misses two point shot,Running Layup Shot,9,8,1,FALSE,0,27,7
LeBron James misses 30-foot three point jumper,Jump Shot,9,8,1,FALSE,0,28,30
LeBron James misses 28-foot three point pullup jump shot,Pullup Jump Shot,12,17,1,FALSE,0,23,28
LeBron James misses two point shot,Fade Away Jump Shot,12,19,1,FALSE,0,18,0
LeBron James misses 28-foot three point jumper,Jump Shot,12,21,1,FALSE,0,36,26
LeBron James makes 13-foot jumper (Russell Westbrook assists),Jump Shot,14,24,1,TRUE,2,30,12
LeBron James misses layup,Cutting Layup Shot,14,26,1,FALSE,0,23,5
LeBron James makes 24-foot three point jumper (Austin Reaves assists),Jump Shot,17,26,1,TRUE,3,49,3
LeBron James makes two point shot,Turnaround Fade Away Jump Shot,36,36,2,TRUE,2,10,1
LeBron James makes layup (Russell Westbrook assists),Cutting Layup Shot,38,36,2,TRUE,2,25,0
LeBron James makes 1-foot dunk (Russell Westbrook assists),Cutting Dunk Shot,58,54,2,TRUE,2,26,1
LeBron James misses 28-foot three point jumper,Jump Shot,59,61,3,FALSE,0,29,28
LeBron James makes dunk (Dennis Schroder assists),Cutting Dunk Shot,67,69,3,TRUE,2,25,2
LeBron James misses 28-foot three point jumper,Jump Shot,67,71,3,FALSE,0,32,27
LeBron James makes two point shot (Russell Westbrook assists),Running Layup Shot,77,79,3,TRUE,2,25,1
LeBron James makes alley oop layup (Russell Westbrook assists),Alley Oop Layup Shot,79,82,3,TRUE,2,25,1
LeBron James misses 9-foot two point shot,Turnaround Fade Away Jump Shot,91,104,4,FALSE,0,34,2
LeBron James misses 23-foot three point jumper,Jump Shot,105,115,4,FALSE,0,3,4
LeBron James makes two point shot,Running Finger Roll Layup,109,115,4,TRUE,2,24,3
LeBron James misses layup,Layup Shot,120,120,5,FALSE,0,26,3
LeBron James misses 30-foot three point jumper,Jump Shot,120,127,5,FALSE,0,36,27
LeBron James misses 12-foot two point shot,Turnaround Fade Away Jump Shot,0,0,1,FALSE,0,34,8
LeBron James misses 11-foot two point shot,Fade Away Jump Shot,4,4,1,FALSE,0,36,2
LeBron James makes 27-foot three point jumper (Anthony Davis assists),Jump Shot,10,4,1,TRUE,3,23,27
LeBron James misses 24-foot three point pullup jump shot,Pullup Jump Shot,13,5,1,FALSE,0,49,3
LeBron James makes two point shot (Dennis Schroder assists),Running Jump Shot,15,5,1,TRUE,2,8,0
LeBron James makes 18-foot two point shot,Fade Away Jump Shot,34,26,2,TRUE,2,17,16
LeBron James makes 3-foot dunk (Russell Westbrook assists),Running Dunk Shot,36,28,2,TRUE,2,28,2
LeBron James makes dunk (Russell Westbrook assists),Cutting Dunk Shot,38,30,2,TRUE,2,25,4
LeBron James makes 7-foot two point shot (Russell Westbrook assists),Fade Away Jump Shot,40,33,2,TRUE,2,32,1
LeBron James makes 21-foot two point shot,Fade Away Jump Shot,42,35,2,TRUE,2,11,15
LeBron James misses two point shot,Turnaround Fade Away Jump Shot,47,37,2,FALSE,0,37,0
LeBron James makes 18-foot pullup jump shot (Anthony Davis assists),Pullup Jump Shot,53,39,2,TRUE,2,39,12
LeBron James misses 25-foot three point jumper,Jump Shot,68,60,3,FALSE,0,49,7
LeBron James makes 27-foot three point jumper (Anthony Davis assists),Jump Shot,80,72,3,TRUE,3,37,24
LeBron James misses driving floating jump shot,Driving Floating Jump Shot,80,75,3,FALSE,0,24,6
LeBron James makes layup (Anthony Davis assists),Cutting Finger Roll Layup Shot,100,94,4,TRUE,2,26,1
LeBron James misses 26-foot three point jumper,Jump Shot,103,96,4,FALSE,0,7,18
LeBron James misses two point shot,Turnaround Fade Away Jump Shot,109,102,4,FALSE,0,25,16
LeBron James misses two point shot,Fade Away Jump Shot,109,104,4,FALSE,0,13,0
LeBron James makes layup (Dennis Schroder assists),Layup Shot,111,104,4,TRUE,2,23,0
LeBron James makes layup (Dennis Schroder assists),Layup Shot,114,106,4,TRUE,2,24,2
LeBron James makes two point shot,Turnaround Fade Away Jump Shot,116,108,4,TRUE,2,13,0
LeBron James makes two point shot,Running Layup Shot,119,111,4,TRUE,2,26,1
LeBron James misses 26-foot three point pullup jump shot,Pullup Jump Shot,119,113,4,FALSE,0,8,20
LeBron James misses layup,Layup Shot,7,5,1,FALSE,0,28,2
LeBron James makes layup (Anthony Davis assists),Layup Shot,21,13,1,TRUE,2,26,4
LeBron James makes two point shot (Austin Reaves assists),Running Layup Shot,37,26,2,TRUE,2,25,2
LeBron James makes driving layup,Driving Layup Shot,47,34,2,TRUE,2,23,5
LeBron James makes driving layup,Driving Layup Shot,52,40,2,TRUE,2,23,2
LeBron James makes dunk,Running Dunk Shot,52,42,2,TRUE,2,25,1
LeBron James misses 26-foot three point jumper,Jump Shot,54,45,2,FALSE,0,6,19
LeBron James misses 33-foot three point pullup jump shot,Pullup Jump Shot,65,50,2,FALSE,0,32,33
LeBron James makes 27-foot three pointer,Pullup Jump Shot,68,55,3,TRUE,3,16,26
LeBron James misses running pullup jump shot,Running Pullup Jump Shot,70,57,3,FALSE,0,15,24
LeBron James makes 19-foot pullup jump shot (Anthony Davis assists),Pullup Jump Shot,79,61,3,TRUE,2,20,19
LeBron James makes dunk,Running Dunk Shot,88,78,3,TRUE,2,25,1
LeBron James misses two point shot,Running Layup Shot,88,78,3,FALSE,0,25,2
LeBron James misses 10-foot two point shot,Turnaround Fade Away Jump Shot,88,82,4,FALSE,0,15,2
LeBron James makes driving layup,Driving Layup Shot,88,84,4,TRUE,2,27,1
LeBron James makes 26-foot step back jumpshot,Step Back Jump Shot,88,92,4,TRUE,3,26,26
LeBron James misses 28-foot three point jumper,Jump Shot,88,92,4,FALSE,0,26,28
LeBron James makes 26-foot three point jumper (Anthony Davis assists),Jump Shot,93,101,4,TRUE,3,39,22
LeBron James makes driving dunk,Driving Dunk Shot,93,103,4,TRUE,2,26,0
LeBron James misses 31-foot three point jumper,Jump Shot,93,106,4,FALSE,0,13,28
LeBron James makes 10-foot two point shot,Fade Away Jump Shot,103,110,4,TRUE,2,21,10
LeBron James misses 26-foot three point pullup jump shot,Pullup Jump Shot,105,110,4,FALSE,0,23,26
LeBron James misses 27-foot three point pullup jump shot,Pullup Jump Shot,110,110,4,FALSE,0,13,24
LeBron James misses 28-foot three point jumper,Jump Shot,115,114,5,FALSE,0,39,24
LeBron James makes driving layup (Austin Reaves assists),Driving Layup Shot,122,116,5,TRUE,2,26,1
LeBron James makes driving layup,Driving Layup Shot,6,6,1,TRUE,2,26,4
LeBron James misses 23-foot three point jumper,Jump Shot,15,18,1,FALSE,0,48,-1
LeBron James makes two point shot (Russell Westbrook assists),Reverse Layup Shot,15,20,1,TRUE,2,26,2
LeBron James misses two point shot,Running Layup Shot,22,25,1,FALSE,0,25,4
Jeff Green blocks LeBron James's driving layup,Driving Layup Shot,34,33,2,FALSE,0,25,5
LeBron James makes 26-foot three point shot (Patrick Beverley assists),Running Jump Shot,37,46,2,TRUE,3,21,26
LeBron James misses 18-foot two point shot,Fade Away Jump Shot,41,46,2,FALSE,0,8,7
LeBron James misses 26-foot three point jumper,Jump Shot,45,46,2,FALSE,0,14,23
LeBron James makes driving layup,Driving Layup Shot,62,60,2,TRUE,2,25,2
LeBron James makes two point shot (Russell Westbrook assists),Running Layup Shot,62,62,2,TRUE,2,24,2
LeBron James makes dunk,Running Dunk Shot,62,64,2,TRUE,2,25,2
LeBron James makes dunk (Patrick Beverley assists),Cutting Dunk Shot,67,66,3,TRUE,2,25,2
LeBron James misses 26-foot three point jumper,Jump Shot,79,70,3,FALSE,0,37,24
LeBron James makes dunk (Thomas Bryant assists),Cutting Dunk Shot,79,72,3,TRUE,2,25,2
LeBron James makes driving layup,Driving Layup Shot,88,90,3,TRUE,2,24,4
LeBron James makes 3-foot layup (Russell Westbrook assists),Cutting Layup Shot,97,114,4,TRUE,2,27,3
LeBron James makes 19-foot two point shot,Fade Away Jump Shot,100,116,4,TRUE,2,29,19
LeBron James makes 15-foot two point shot,Turnaround Fade Away Jump Shot,102,118,4,TRUE,2,12,7
LeBron James makes two point shot (Dennis Schroder assists),Running Layup Shot,102,120,4,TRUE,2,25,2
LeBron James misses 20-foot pullup jump shot,Pullup Jump Shot,102,120,4,FALSE,0,13,16
LeBron James misses 26-foot three point jumper,Jump Shot,0,2,1,FALSE,0,17,24
LeBron James misses 14-foot two point shot,Turnaround Fade Away Jump Shot,2,4,1,FALSE,0,14,10
LeBron James makes two point shot,Driving Finger Roll Layup,9,11,1,TRUE,2,25,1
LeBron James makes two point shot,Layup Driving Reverse,12,16,1,TRUE,2,27,2
LeBron James makes 19-foot jumper,Jump Shot,12,18,1,TRUE,2,13,15
LeBron James misses 19-foot two point shot,Fade Away Jump Shot,29,30,2,FALSE,0,35,17
LeBron James makes 4-foot two point shot,Driving Finger Roll Layup,34,34,2,TRUE,2,22,3
LeBron James makes 17-foot pullup jump shot,Pullup Jump Shot,37,40,2,TRUE,2,35,13
LeBron James makes dunk (Austin Reaves assists),Running Alley Oop Dunk Shot,39,47,2,TRUE,2,25,1
LeBron James misses 19-foot jumper,Jump Shot,45,52,2,FALSE,0,24,19
LeBron James makes driving layup,Driving Layup Shot,52,63,2,TRUE,2,27,3
LeBron James misses 14-foot two point shot,Turnaround Fade Away Jump Shot,52,66,3,FALSE,0,12,5
LeBron James misses 18-foot two point shot,Fade Away Jump Shot,64,73,3,FALSE,0,13,14
LeBron James makes 6-foot two point shot,Driving Floating Bank Jump Shot,71,79,3,TRUE,2,29,5
LeBron James misses 28-foot three point pullup jump shot,Pullup Jump Shot,95,87,4,FALSE,0,40,24
LeBron James makes driving layup,Driving Layup Shot,95,89,4,TRUE,2,27,2
LeBron James makes 26-foot step back jumpshot,Step Back Jump Shot,95,98,4,TRUE,3,9,21
LeBron James misses 18-foot two point shot,Fade Away Jump Shot,97,98,4,FALSE,0,21,17
LeBron James misses two point shot,Running Layup Shot,102,103,4,FALSE,0,23,4
LeBron James makes two point shot (Dennis Schroder assists),Running Layup Shot,102,105,4,TRUE,2,24,3
Daniel Gafford blocks LeBron James 's 5-foot driving layup,Driving Layup Shot,104,109,4,FALSE,0,22,4
LeBron James makes 6-foot two point shot,Driving Jump Shot Bank,104,111,4,TRUE,2,27,6
LeBron James misses 28-foot three point jumper,Jump Shot,113,115,4,FALSE,0,15,26
LeBron James makes driving dunk,Driving Dunk Shot,115,117,4,TRUE,2,25,1
LeBron James misses 25-foot three point jumper,Jump Shot,3,0,1,FALSE,0,19,24
LeBron James makes 2-foot two point shot (Thomas Bryant assists),Driving Finger Roll Layup,5,0,1,TRUE,2,23,1
LeBron James makes 22-foot step back jumpshot,Step Back Jump Shot,11,7,1,TRUE,2,17,21
LeBron James makes 22-foot jumper,Jump Shot,13,12,1,TRUE,2,9,15
LeBron James misses two point shot,Driving Floating Bank Jump Shot,13,12,1,FALSE,0,20,1
LeBron James makes two point shot,Fade Away Jump Shot,28,28,2,TRUE,2,25,11
LeBron James misses 26-foot step back jumpshot,Step Back Jump Shot,30,30,2,FALSE,0,9,21
LeBron James misses 13-foot two point shot,Turnaround Fade Away Jump Shot,30,32,2,FALSE,0,12,1
LeBron James makes finger roll layup,Finger Roll Layup,32,34,2,TRUE,2,25,3
LeBron James makes 11-foot two point shot,Fade Away Jump Shot,40,41,2,TRUE,2,19,9
LeBron James misses two point shot,Driving Floating Bank Jump Shot,47,54,2,FALSE,0,15,6
LeBron James makes driving layup,Driving Layup Shot,52,58,2,TRUE,2,23,0
LeBron James makes dunk,Running Dunk Shot,54,58,2,TRUE,2,25,1
LeBron James makes 8-foot two point shot,Driving Floating Bank Jump Shot,60,68,3,TRUE,2,32,4
LeBron James misses pullup jump shot,Pullup Jump Shot,64,75,3,FALSE,0,25,17
LeBron James misses 18-foot pullup jump shot,Pullup Jump Shot,71,82,3,FALSE,0,41,7
Terence Davis blocks LeBron James 's 4-foot two point shot,Turnaround Jump Shot,94,110,4,FALSE,0,21,1
LeBron James misses 27-foot three point jumper,Jump Shot,100,121,4,FALSE,0,23,27
LeBron James makes 3-foot two point shot,Driving Finger Roll Layup,102,123,4,TRUE,2,22,2
LeBron James makes dunk (Thomas Bryant assists),Running Dunk Shot,110,126,4,TRUE,2,25,2
LeBron James misses 26-foot three point pullup jump shot,Pullup Jump Shot,113,129,4,FALSE,0,16,25
LeBron James makes 13-foot two point shot,Turnaround Fade Away Jump Shot,3,2,1,TRUE,2,38,2
LeBron James misses 26-foot three point jumper,Jump Shot,5,2,1,FALSE,0,16,25
P.J. Washington blocks LeBron James 's 6-foot driving layup,Driving Layup Shot,6,5,1,FALSE,0,28,6
LeBron James makes 16-foot two point shot (Dennis Schroder assists),Turnaround Jump Shot,6,7,1,TRUE,2,41,5
LeBron James makes two point shot,Layup Driving Reverse,6,9,1,TRUE,2,23,2
LeBron James misses two point shot,Driving Floating Bank Jump Shot,33,31,2,FALSE,0,28,8
LeBron James misses 18-foot jumper,Jump Shot,36,31,2,FALSE,0,42,6
LeBron James misses 23-foot three point jumper,Jump Shot,42,34,2,FALSE,0,2,4
LeBron James makes 27-foot three pointer,Pullup Jump Shot,44,37,2,TRUE,3,26,27
LeBron James makes alley oop layup (Russell Westbrook assists),Alley Oop Layup Shot,58,55,2,TRUE,2,24,3
LeBron James makes 28-foot three pointer,Pullup Jump Shot,67,67,2,TRUE,3,15,26
LeBron James makes 20-foot two point shot,Fade Away Jump Shot,77,69,3,TRUE,2,13,16
LeBron James misses 26-foot three point jumper,Jump Shot,80,69,3,FALSE,0,43,19
LeBron James misses 16-foot two point shot,Fade Away Jump Shot,99,89,4,FALSE,0,15,12
LeBron James makes dunk (Austin Reaves assists),Running Dunk Shot,107,100,4,TRUE,2,25,1
LeBron James misses 27-foot three point jumper,Jump Shot,107,100,4,FALSE,0,27,27
LeBron James makes 26-foot three point jumper (Dennis Schroder assists),Jump Shot,112,103,4,TRUE,3,31,25
LeBron James makes two point shot,Layup Driving Reverse,114,109,4,TRUE,2,23,2
LeBron James makes two point shot,Running Layup Shot,114,111,4,TRUE,2,23,3
LeBron James makes 26-foot three point jumper (Thomas Bryant assists),Jump Shot,117,114,4,TRUE,3,43,19
LeBron James makes alley oop layup (Dennis Schroder assists),Alley Oop Layup Shot,124,121,4,TRUE,2,26,2
LeBron James makes driving layup,Driving Layup Shot,126,123,4,TRUE,2,25,2
LeBron James makes two point shot (Russell Westbrook assists),Running Layup Shot,130,130,4,TRUE,2,25,1
LeBron James misses two point shot,Running Layup Shot,3,0,1,FALSE,0,27,1
LeBron James makes 11-foot two point shot,Floating Jump Shot,7,5,1,TRUE,2,22,11
LeBron James makes two point shot (Thomas Bryant assists),Running Layup Shot,9,5,1,TRUE,2,25,2
LeBron James misses 23-foot step back jumpshot,Step Back Jump Shot,11,6,1,FALSE,0,14,20
LeBron James makes driving layup,Driving Layup Shot,13,6,1,TRUE,2,23,2
LeBron James makes 4-foot two point shot,Driving Floating Bank Jump Shot,15,6,1,TRUE,2,22,3
LeBron James makes two point shot,Turnaround Fade Away Jump Shot,19,9,1,TRUE,2,10,1
LeBron James misses 30-foot step back jumpshot,Step Back Jump Shot,28,21,1,FALSE,0,38,27
LeBron James makes driving layup,Driving Layup Shot,30,24,2,TRUE,2,24,1
LeBron James misses 27-foot three point jumper,Jump Shot,30,24,2,FALSE,0,23,27
LeBron James misses 11-foot jumper,Jump Shot,37,28,2,FALSE,0,21,10
LeBron James makes 7-foot jumper,Jump Shot,39,30,2,TRUE,2,24,7
LeBron James makes two point shot,Layup Driving Reverse,41,30,2,TRUE,2,23,2
LeBron James misses jumper,Jump Shot,41,30,2,FALSE,0,9,0
LeBron James makes 10-foot two point shot,Driving Floating Bank Jump Shot,43,35,2,TRUE,2,35,2
LeBron James makes 22-foot jumper,Jump Shot,56,46,3,TRUE,2,8,13
LeBron James misses 26-foot three point pullup jump shot,Pullup Jump Shot,58,49,3,FALSE,0,10,21
LeBron James makes 19-foot two point shot,Turnaround Fade Away Jump Shot,63,60,3,TRUE,2,39,13
LeBron James makes 20-foot two point shot (Dennis Schroder assists),Turnaround Fade Away Jump Shot,87,99,4,TRUE,2,40,13
LeBron James misses 18-foot two point shot,Turnaround Fade Away Jump Shot,87,101,4,FALSE,0,18,16
LeBron James makes two point shot,Running Layup Shot,89,101,4,TRUE,2,25,3
LeBron James misses 26-foot three point jumper,Jump Shot,103,119,4,FALSE,0,9,20
LeBron James misses driving layup,Driving Layup Shot,103,121,4,FALSE,0,26,1
LeBron James misses 17-foot two point shot,Fade Away Jump Shot,0,1,1,FALSE,0,14,13
LeBron James makes 16-foot step back jumpshot,Step Back Jump Shot,3,3,1,TRUE,2,41,-1
LeBron James misses 25-foot three point shot,Running Jump Shot,8,7,1,FALSE,0,9,20
LeBron James makes two point shot (Austin Reaves assists),Driving Finger Roll Layup,18,15,1,TRUE,2,26,2
LeBron James misses 21-foot jumper,Jump Shot,18,18,1,FALSE,0,43,10
LeBron James makes layup (Russell Westbrook assists),Layup Shot,35,27,2,TRUE,2,22,2
LeBron James makes 2-foot layup (Troy Brown Jr. assists),Cutting Layup Shot,37,31,2,TRUE,2,26,2
LeBron James misses 27-foot three point jumper,Jump Shot,39,31,2,FALSE,0,27,27
LeBron James misses running pullup jump shot,Running Pullup Jump Shot,47,39,2,FALSE,0,10,21
LeBron James makes two point shot (Austin Reaves assists),Running Layup Shot,63,51,2,TRUE,2,26,3
LeBron James makes 10-foot two point shot,Turnaround Fade Away Jump Shot,70,59,3,TRUE,2,35,3
LeBron James misses 27-foot step back jumpshot,Step Back Jump Shot,72,60,3,FALSE,0,11,23
Markelle Fultz blocks LeBron James 's 8-foot driving layup,Driving Layup Shot,72,60,3,FALSE,0,23,8
LeBron James misses 29-foot three point pullup jump shot,Pullup Jump Shot,73,63,3,FALSE,0,12,26
LeBron James misses 24-foot three point jumper,Jump Shot,73,66,3,FALSE,0,48,7
LeBron James makes layup (Russell Westbrook assists),Layup Shot,75,68,3,TRUE,2,28,2
LeBron James makes 1-foot dunk (Austin Reaves assists),Running Alley Oop Dunk Shot,79,68,3,TRUE,2,26,1
LeBron James misses two point shot,Running Layup Shot,79,68,3,FALSE,0,28,3
LeBron James makes driving layup,Driving Layup Shot,86,77,3,TRUE,2,28,2
LeBron James makes 10-foot two point shot,Turnaround Fade Away Jump Shot,88,77,3,TRUE,2,22,9
LeBron James misses 27-foot three point jumper,Jump Shot,109,96,4,FALSE,0,45,17
LeBron James misses 17-foot two point shot,Turnaround Fade Away Jump Shot,109,96,4,FALSE,0,41,3
LeBron James makes driving layup,Driving Layup Shot,113,98,4,TRUE,2,27,2
LeBron James makes 3-foot two point shot (Russell Westbrook assists),Reverse Layup Shot,118,103,4,TRUE,2,23,3
LeBron James makes 13-foot two point shot,Turnaround Fade Away Jump Shot,2,0,1,TRUE,2,34,9
LeBron James misses 29-foot three point jumper,Jump Shot,5,3,1,FALSE,0,23,29
LeBron James makes 26-foot three point jumper (Patrick Beverley assists),Jump Shot,8,7,1,TRUE,3,13,23
LeBron James makes 19-foot jumper (Lonnie Walker IV assists),Jump Shot,10,13,1,TRUE,2,14,16
LeBron James makes 26-foot three point jumper (Patrick Beverley assists),Jump Shot,13,13,1,TRUE,3,9,21
LeBron James misses 17-foot two point shot,Fade Away Jump Shot,33,37,2,FALSE,0,9,3
LeBron James makes two point shot,Running Finger Roll Layup,37,37,2,TRUE,2,25,2
LeBron James misses driving floating jump shot,Driving Floating Jump Shot,48,53,2,FALSE,0,23,10
LeBron James misses 26-foot three point pullup jump shot,Pullup Jump Shot,50,56,2,FALSE,0,27,26
LeBron James makes driving layup,Driving Layup Shot,57,68,3,TRUE,2,23,2
LeBron James misses 27-foot three point jumper,Jump Shot,58,73,3,FALSE,0,10,22
LeBron James makes driving layup (Austin Reaves assists),Driving Layup Shot,60,73,3,TRUE,2,26,1
LeBron James makes driving layup,Driving Layup Shot,83,95,4,TRUE,2,26,0
LeBron James makes 2-foot layup (Russell Westbrook assists),Cutting Layup Shot,88,98,4,TRUE,2,23,1
LeBron James misses driving layup,Driving Layup Shot,90,102,4,FALSE,0,27,2
Victor Oladipo blocks LeBron James 's 2-foot driving layup,Driving Layup Shot,92,102,4,FALSE,0,27,1
LeBron James misses 4-foot two point shot,Driving Jump Shot Bank,92,105,4,FALSE,0,21,1
LeBron James makes driving layup,Driving Layup Shot,94,105,4,TRUE,2,27,1
LeBron James misses 17-foot two point shot,Fade Away Jump Shot,2,0,1,FALSE,0,23,16
LeBron James misses 19-foot two point shot,Fade Away Jump Shot,2,2,1,FALSE,0,9,10
LeBron James misses 23-foot three point pullup jump shot,Pullup Jump Shot,2,4,1,FALSE,0,48,1
LeBron James makes dunk (Thomas Bryant assists),Running Dunk Shot,4,6,1,TRUE,2,25,1
LeBron James misses driving layup,Driving Layup Shot,12,18,1,FALSE,0,27,3
LeBron James misses two point shot,Running Layup Shot,23,33,2,FALSE,0,26,7
LeBron James makes 26-foot three point jumper (Russell Westbrook assists),Jump Shot,26,36,2,TRUE,3,32,25
LeBron James makes driving layup,Driving Layup Shot,32,43,2,TRUE,2,25,2
LeBron James misses 13-foot two point shot,Turnaround Fade Away Jump Shot,39,52,2,FALSE,0,30,12
LeBron James makes two point shot (Dennis Schroder assists),Running Layup Shot,47,57,2,TRUE,2,25,1
LeBron James makes layup (Patrick Beverley assists),Cutting Layup Shot,53,59,2,TRUE,2,25,2
LeBron James makes two point shot,Running Layup Shot,60,67,2,TRUE,2,25,2
LeBron James makes driving layup (Russell Westbrook assists),Driving Layup Shot,62,67,2,TRUE,2,25,2
LeBron James makes 10-foot two point shot,Turnaround Fade Away Jump Shot,66,69,3,TRUE,2,35,1
LeBron James makes two point shot,Layup Shot Putback,68,74,3,TRUE,2,25,0
LeBron James makes dunk (Patrick Beverley assists),Cutting Dunk Shot,70,77,3,TRUE,2,25,0
LeBron James makes two point shot (Russell Westbrook assists),Running Layup Shot,82,81,3,TRUE,2,25,0
LeBron James misses two point shot,Running Layup Shot,84,83,3,FALSE,0,25,0
LeBron James makes two point shot,Layup Shot Putback,86,83,3,TRUE,2,25,0
